id,first_name,last_name,yearly_income,credit_score,dti_ratio,age
359,Launce,Parnaby,38297,330,5.07,22
360,Reinaldo,Breydin,35849,434,7.62,32
361,Ailey,Wiseman,58315,710,8.82,70
362,Brigida,Norcliffe,41591,704,2.36,66
363,Alia,Dixey,67549,329,3.33,56
364,Cecile,Saphir,31765,681,2.62,77
365,Leonanie,Hucquart,52937,300,0.98,57
366,Jilli,Erdely,48513,422,2.94,24
367,Jobie,Wiltshaw,44259,426,8.21,43
368,Lezley,Ardron,33139,799,5.19,20
369,Lucky,Kealy,64416,738,7.76,21
370,Jeannette,Mc Pake,59344,754,8.75,41
371,Sharia,Litton,38107,481,5.82,49
372,Marni,Davley,50874,601,4.65,39
373,Rees,Rebeiro,37015,840,9.88,80
374,Ebeneser,Kasperski,37233,713,0.3,38
375,Nellie,Landor,50078,417,8.74,52
376,Joceline,Eltone,36764,301,9.14,61
377,Debby,Wann,59897,331,4.26,36
378,Kelsey,MacGiolla Pheadair,48077,389,9.9,48
379,Ken,Risdall,44867,376,6.27,33
380,Rozanne,Kayley,41617,341,8.64,21
381,Edwin,Denyukin,32851,797,0.89,73
382,Aurora,Paridge,36048,350,0.64,34
383,Rolph,Provost,63908,615,9.36,65
384,Helli,Greendale,50448,451,7.2,44
385,Chiquia,Hunnaball,35651,466,2.92,80
386,Miof mela,Bugby,43724,790,7.04,75
387,Lona,Sawdon,58297,375,6.51,69
388,Nicol,Mac Giolla Pheadair,58849,350,0.24,47
389,Emalee,Le Grove,47104,708,8.54,51
390,Hesther,Kubyszek,36983,463,8.99,40
391,Luelle,Murie,67114,731,4.02,54
392,Bordy,Klimmek,46718,494,9.87,32
393,Holli,Tooze,49225,760,2.85,65
394,Joaquin,Pleasaunce,30812,550,1.04,77
395,Farica,Batecok,56205,442,3.95,61
396,Donnajean,Eskrigg,36920,333,5.4,41
397,Rafaello,Carlett,47794,562,0.98,44
398,Elvera,Marsy,47150,346,2.85,21
399,Giraldo,Hurdidge,50320,678,0.51,60
400,Guilbert,Bowry,39057,448,8.17,58
401,Cacilia,Rubinsztein,55880,706,9.7,48
402,Zebadiah,Igo,53287,510,2.44,74
403,Neille,Petzold,45309,569,9.24,36
404,Carlyn,Bathoe,66241,762,7.05,31
405,Rozele,McQuaker,67152,814,2.3,26
406,Shauna,Flarity,56795,564,6.91,63
407,Chantalle,Paroni,21715,741,2.24,56
408,Shurlock,Bartoletti,56308,778,8.44,39
409,Felecia,Fullilove,28533,711,4.26,50
410,Selinda,Rustadge,38699,753,5.84,63
411,Karlis,Helmke,36445,593,5.57,32
412,Hugh,Barbe,44103,589,9.94,69
413,Kaiser,Ruggles,47019,491,2.39,57
414,Clerc,Gentiry,35466,328,0.96,46
415,Herman,Normington,36802,307,6.43,71
416,Clovis,Kirtley,38937,662,7.76,36
417,Sheffie,McGillreich,38702,747,3.01,73
418,Alis,Roulston,31020,327,2.47,25
419,Lisbeth,Bole,58626,378,8.56,71
420,Job,Chapelle,34035,524,9.14,58
421,Morry,Kulicke,52810,317,8.62,76
422,Rudolf,Schwandermann,32684,396,7.29,38
423,Viole,Krishtopaittis,55390,654,0.16,74
424,Cly,Pawlowicz,40656,738,4.11,37
425,Nomi,Mewburn,33338,429,0.16,51
426,Matthiew,Bubeer,41950,790,4.3,56
427,Natassia,Brobeck,57693,359,8.98,66
428,Lou,Petrusch,58891,414,8.99,62
429,Leandra,Matt,21743,434,3.57,74
430,Bealle,Mugg,41095,550,5.69,55
431,Glynnis,Reavey,48929,414,3.29,67
432,Ashlen,Rammell,30562,532,2.08,54
433,Lorne,Levin,46007,832,0.14,53
434,Pandora,Winser,51454,737,2.92,55
435,Mikael,Crook,31180,504,6.33,28
436,Saundra,Najara,61515,754,5.77,65
437,Steffie,Burth,46089,603,4.74,65
438,Sergei,Enterle,59096,318,6.59,53
439,Lawrence,Brogioni,48831,773,0.43,68
440,Rora,Sennett,32315,306,7.52,59
441,Lynnea,Folliss,42514,372,2.7,31
442,Benedikt,Gladtbach,38921,307,6.24,36
443,Samson,Filmer,58592,508,4.62,57
444,Valaree,Osichev,30599,354,0.38,73
445,Sherwynd,Kennerknecht,38270,837,8.55,39
446,Myrvyn,Leaning,52042,447,8.7,26
447,Mead,Mildenhall,48331,698,0.44,47
448,Brinn,Barwick,51063,573,9.07,24
449,Edin,Skitterel,32929,668,8.49,64
450,Jacintha,Rothera,77705,598,9.34,20
451,Alyda,Mellmoth,48743,542,4.97,65
452,Bella,Cluely,51774,710,6.09,19
453,Hilarius,Spriggs,43346,592,3.85,35
454,Coreen,Kirkland,40964,588,7.59,69
455,Waylen,Shallcroff,31261,459,8.37,48
456,Christoffer,Courage,38665,703,2.33,55
457,Haskel,Cassin,26646,700,4.31,43
458,Haze,Briereton,45442,379,1.02,37
459,Currie,Keeting,34583,334,0.37,19
460,Zonnya,Cinelli,32141,406,5.68,38
461,Lawry,Antic,34603,802,4.08,49
462,Lucina,Breit,25476,700,8.4,68
463,Dorothea,Grahl,53950,427,5.8,75
464,Crissy,Heys,33459,771,3.75,80
465,Mar,Reddecliffe,51738,489,3.29,42
466,Datha,Di Biaggi,38054,518,2.74,43
467,Kelila,Keeltagh,52505,476,6.39,58
468,Leo,Lambregts,59093,567,4.65,45
469,Humbert,McKeag,43567,408,5.24,39
470,Gwenny,Vasishchev,51620,361,8.21,39
471,Vidovic,Gladdin,56243,554,3.09,26
472,Timofei,Spellecy,55558,456,2.74,41
473,Sebastiano,Ivakhin,42412,699,3.65,58
474,Gerhardt,Godman,29761,621,4.13,66
475,Wyatan,Fazakerley,50911,635,2.9,46
476,Talya,Vieyra,38911,628,8.06,63
477,Skipton,Balffye,52132,836,1.27,37
478,Darelle,Sherel,39442,680,5.33,19
479,Meade,Jermy,43115,801,2.68,20
480,Nyssa,Moizer,44841,739,1.54,68
481,Kimberlee,Layfield,61869,549,2.86,57
482,Claudette,Classen,49195,571,5.24,70
483,Syd,Farnham,59938,748,9.8,49
484,Gerrie,Geerling,43019,367,9.11,69
485,Juliane,Spurden,54182,653,9.39,33
486,Ninnetta,Roggerone,44408,473,2.4,21
487,Olenka,Inchbald,54183,679,3.2,58
488,Dorelle,Climer,52170,589,9.63,44
489,Dougie,Guiver,27671,647,2.53,46
490,Sherwynd,Hunston,55218,491,3.08,27
491,Darcey,Lints,39903,300,3.74,46
492,Bessie,Itzkovici,49714,658,9.68,20
493,Zia,Jewsbury,65149,363,0.99,49
494,Loraine,Lathbury,48350,570,1.59,41
495,Gerik,Gruszczak,51873,404,6.9,61
496,Jenilee,Utting,45767,465,2.81,69
497,Michele,Steynor,42981,593,2.14,72
498,Alaine,Willmett,41258,525,5.9,37
499,Denny,Merritt,39311,764,3.17,38
500,Viva,Hallam,28062,702,7.4,77
501,Masha,Joutapaitis,41313,638,7.99,58
502,Evita,Brussell,52283,833,6.03,24
503,Karlotta,Freen,40564,537,3.89,68
504,Lisha,Franzelini,30595,659,0.37,57
505,Olenka,Obington,55893,332,7.86,43
506,Carmencita,Hartle,62585,835,6.55,46
507,Irina,Shynn,43936,763,7.14,20
508,Torr,Cotilard,54004,471,1.06,25
509,Ulises,Stanman,36842,497,4.06,23
510,Thurstan,Dearle,42366,307,7.64,19
511,Lotte,Menere,44504,408,3.0,42
512,Orella,Sackes,50616,513,6.13,34
513,Haily,Arnatt,49024,370,2.7,34
514,Anabal,Beddoe,31989,826,2.17,39
515,Marten,Dunley,45057,394,5.46,59
516,Theresa,Pennuzzi,46576,766,5.68,67
517,Felita,MacLeese,32511,461,3.38,35
518,Kristofer,Skingle,48817,326,8.2,78
519,Benoit,Hought,17335,732,9.01,33
520,Jackelyn,Wafer,38826,501,9.34,74
521,Scarface,Gatrell,57568,774,1.07,53
522,Kamilah,Geare,51465,564,6.89,66
523,Esme,Huffa,36974,573,1.79,65
524,Dru,Millington,51262,517,2.89,47
525,Othelia,Pietraszek,35979,499,6.01,52
526,Fairleigh,Landrieu,39069,532,4.18,42
527,Bibbye,Garlant,29792,779,8.62,53
528,Verene,Kiffin,58159,543,4.34,18
529,Melodee,Lidbetter,45864,444,3.69,55
530,Kinna,Bowling,49669,813,8.27,78
531,Bartlet,Berger,42410,750,3.26,53
532,Parrnell,Kareman,45075,403,9.63,74
533,Tamarah,Baine,56701,743,4.43,68
534,Celisse,Margrem,27809,414,3.0,63
535,Angelico,Westnedge,36866,323,5.05,28
536,Afton,Kleiner,45020,658,4.45,61
537,Glen,Ceely,38699,797,6.85,67
538,Stesha,Pudsey,40661,543,9.17,28
539,Aggi,Lines,27501,846,6.22,41
540,Serge,Brazenor,34084,805,9.8,48
541,Karylin,Taverner,41221,733,0.79,54
542,Jerrilyn,Vest,45815,597,3.67,74
543,Shaylynn,Kaubisch,53896,323,1.83,67
544,Anna-diane,Mallinder,47881,667,5.48,47
545,Vassily,MacCarrick,41273,616,9.81,80
546,Annaliese,Drysdell,48962,359,5.73,31
547,Guy,Baudic,48964,738,6.88,21
548,Jerrie,Fipp,33566,399,5.08,77
549,Bridgette,Perfili,56462,443,5.01,35
550,Petunia,Kegley,47131,429,3.64,80
551,Ly,Puleque,55384,796,0.71,65
552,Dalenna,Cohr,35292,583,7.77,35
553,Standford,Sclanders,48270,637,0.82,80
554,Brucie,Bartens,36502,343,3.08,62
555,Gaspard,Surmeir,55742,375,5.3,78
556,Rich,Timperley,36322,727,2.22,20
557,Stephine,Kryszka,28953,554,3.38,33
558,Carena,Whitley,33653,520,1.63,39
559,Blinny,Feben,38922,839,3.67,76
560,Rozanna,Whybray,40871,361,1.73,77
561,Carolyn,Pollok,44262,546,5.22,60
562,Garik,Luna,45599,378,1.34,75
563,Matti,Beartup,42063,719,6.5,21
564,Vanda,Jotcham,33043,613,0.99,22
565,Aubrey,Morrid,25223,671,6.28,30
566,Richart,Gerner,58774,817,8.21,45
567,Tommy,Doody,40680,679,8.23,61
568,Cyndia,Laffin,50375,483,7.06,21
569,Emelina,Carey,44704,430,5.53,54
570,Joana,Readett,51678,658,6.37,31
571,Kelwin,De Nisco,41160,331,3.8,49
572,Ephrayim,Pretious,42699,770,7.44,46
573,Koral,Van der Veldt,44943,309,6.09,74
574,Merry,Leyninye,38252,303,8.14,45
575,Valma,Sharpling,45319,451,4.13,44
576,Kellby,Gabby,59163,599,8.84,67
577,Ferrel,Groocock,56781,469,2.77,79
578,Yurik,Godsmark,61292,607,0.33,27
579,Murry,Hefford,33596,520,2.25,80
580,Willy,Plaxton,52264,660,5.34,20
581,Aggy,Willimot,57894,612,5.53,58
582,Siana,Bevis,42786,826,6.53,80
583,Marvin,Bootman,55031,378,2.49,48
584,Abdel,Soppett,70339,468,4.65,48
585,Barry,Waszkiewicz,42358,729,7.95,53
586,Drugi,Allender,55695,792,8.53,22
587,Gar,Minard,58394,775,9.9,60
588,Joey,Dresse,42003,714,4.01,51
589,Willetta,Cirlos,39670,518,4.69,39
590,Edwina,Mcwhinney,58728,465,1.77,33
591,Borden,Ubanks,52473,849,7.22,64
592,Mallory,Foxten,43726,685,2.91,29
593,Arther,Reddan,45446,755,0.28,49
594,Binny,Dimmne,33106,422,5.6,46
595,Jennine,Tabard,66385,416,2.12,65
596,Justino,Benoey,42089,516,0.33,56
